################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         2          3   0.0000000000000000E+00   5.2416620276373813E-03   1.5219008704108028E-04   3.8043880609682067E-04
         2          4   4.5112189680375359E-01   9.4549433357056922E-01   7.1873377814992945E-01   5.2154527587730364E-02
         2          5   3.1933443830174924E-05   2.5672732717004300E-02   5.9688823834412198E-03   3.5145545628844205E-03
         2          6   0.0000000000000000E+00   5.3620151157825577E-02   2.5447634456000987E-03   5.5321242013406649E-03
         2          7   4.8522977622644281E-01   1.5105700070156141E+00   8.2653659810818603E-01   1.6113989328871600E-01
         2          8   1.2745915572849457E-03   2.0476286894360524E-01   6.6338727601053804E-02   2.8561413125545224E-02
         2          9   0.0000000000000000E+00   2.3441020997219206E-01   1.6688818278212551E-02   3.2017689778389515E-02
         2         10   1.6336441523346298E-01   1.6769070729306947E+00   7.9543201398891916E-01   2.1535875104389623E-01
         2         11   1.4435143037676309E-02   6.6532477007441271E-01   3.0162802710947756E-01   8.9525974129069513E-02
         2         12   0.0000000000000000E+00   4.8414223761075920E-01   4.4151033866832820E-02   7.5566904709600757E-02
         2         13   1.5590433389237315E-01   1.9128239098269735E+00   1.0084091688151364E+00   2.5289121905256889E-01
         2         14   6.3381092446890719E-02   1.0600125019210018E+00   6.0177878723066047E-01   1.3425836838816507E-01
         2         15   0.0000000000000000E+00   4.2002453950086127E-01   5.1307377408759978E-02   7.7027094288381046E-02
         2         16   1.1254877706714561E-01   1.8144569912087918E+00   1.1081697178075969E+00   2.4830416306893524E-01
