################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  8.2190796046087172E-02 a       212     0    11     1    12
 -1.0455747555178033E-01 a       213     0    11     1    13
  2.4817736200577914E-01 a       214     0    11     1    14
  1.9969363915157939E-01 a       215     0    11     1    15
  2.0745775029379809E-01 a       216     0    11     1    16
 -1.7185350718104506E-01 a       217     0    11     1    17
 -1.1621415314801972E-01 a       218     0    11     1    18
  4.0568044181038754E-01 a       219     0    11     1    19
  8.0718690442499991E-02 a       220     0    11     1    20
 -1.4510367052871953E-01 a       221     0    12     1     1
  1.4771944312556951E-01 a       222     0    12     1     2
 -2.0301531754643570E-01 a       223     0    12     1     3
 -5.5870542956884622E-02 a       224     0    12     1     4
 -1.5755740798978046E-01 a       225     0    12     1     5
 -1.3563541893956865E-01 a       226     0    12     1     6
 -1.6121852666719641E-01 a       227     0    12     1     7
  6.1826237749710820E-02 a       228     0    12     1     8
 -2.8283327478562581E-01 a       229     0    12     1     9
 -3.4584168051401368E-02 a       230     0    12     1    10
 -4.4498166146360270E-02 a       231     0    12     1    11
  2.0278350577905471E-01 a       232     0    12     1    12
  2.7611409547869809E-01 a       233     0    12     1    13
  3.8438832546727461E-02 a       234     0    12     1    14
 -1.0774316559670193E-01 a       235     0    12     1    15
 -2.0139420775850684E-02 a       236     0    12     1    16
 -3.2862253411874237E-01 a       237     0    12     1    17
 -7.2133027390713103E-02 a       238     0    12     1    18
 -3.1380645141392993E-02 a       239     0    12     1    19
 -3.3464006250432408E-02 a       240     0    12     1    20
 -2.6359825260952485E-01 a       241     0    13     1     1
 -8.7967525915044101E-02 a       242     0    13     1     2
 -1.8232242140364369E-01 a       243     0    13     1     3
 -2.9522279203707336E-01 a       244     0    13     1     4
 -1.8422766458276085E-01 a       245     0    13     1     5
 -7.6028356450903320E-02 a       246     0    13     1     6
 -1.3858854477057531E-01 a       247     0    13     1     7
  1.8761150838012419E-01 a       248     0    13     1     8
 -3.0545947845275462E-01 a       249     0    13     1     9
 -4.1178890559127507E-01 a       250     0    13     1    10
 -2.9743574736366579E-01 a       251     0    13     1    11
 -1.2651598621510603E-02 a       252     0    13     1    12
  1.6489524014124365E-01 a       253     0    13     1    13
  4.6825324527551582E-01 a       254     0    13     1    14
 -2.5140638383473185E-01 a       255     0    13     1    15
  1.0512500890149407E-02 a       256     0    13     1    16
  1.7416581396677652E-01 a       257     0    13     1    17
  2.9143454676326081E-02 a       258     0    13     1    18
 -2.0926272624149445E-01 a       259     0    13     1    19
  4.5026828761161752E-01 a       260     0    13     1    20
  1.6491278556376169E-02 a       261     0    14     1     1
 -3.5552963914350488E-01 a       262     0    14     1     2
  1.4608587838179221E-01 a       263     0    14     1     3
  2.8659908512993937E-01 a       264     0    14     1     4
  1.1675142147471639E-02 a       265     0    14     1     5
 -5.8663152096513273E-02 a       266     0    14     1     6
 -7.0820802749735706E-02 a       267     0    14     1     7
 -3.1057100839230443E-02 a       268     0    14     1     8
  1.5087336452390362E-01 a       269     0    14     1     9
 -1.5569451044722654E-01 a       270     0    14     1    10
 -5.9587955778326034E-02 a       271     0    14     1    11
 -1.4359692404940777E-02 a       272     0    14     1    12
 -2.4909655151132881E-01 a       273     0    14     1    13
 -1.1218399377680842E-01 a       274     0    14     1    14
 -3.0395614036362584E-02 a       275     0    14     1    15
 -2.8435592718066310E-01 a       276     0    14     1    16
  1.0669685782611331E-01 a       277     0    14     1    17
  1.6746959650038015E-01 a       278     0    14     1    18
  2.5955827098379919E-01 a       279     0    14     1    19
 -3.6519299282901208E-01 a       280     0    14     1    20
  1.9663466547915009E-02 a       281     0    15     1     1
  4.8415406048722243E-02 a       282     0    15     1     2
 -2.4311203412384529E-02 a       283     0    15     1     3
 -2.7514983512734931E-02 a       284     0    15     1     4
  1.1638418489106030E-01 a       285     0    15     1     5
  9.8386324530014876E-02 a       286     0    15     1     6
  1.1296648608431314E-01 a       287     0    15     1     7
 -1.8503901836968883E-01 a       288     0    15     1     8
 -2.3670909252102715E-01 a       289     0    15     1     9
 -1.7722245246877908E-02 a       290     0    15     1    10
  4.9031790686963825E-02 a       291     0    15     1    11
  2.6210221964380810E-02 a       292     0    15     1    12
  3.5880197983349926E-01 a       293     0    15     1    13
 -2.7806879403339733E-02 a       294     0    15     1    14
  1.7973563120710058E-02 a       295     0    15     1    15
  1.9898171380512412E-02 a       296     0    15     1    16
  8.5926106631690161E-02 a       297     0    15     1    17
 -2.5459045972989175E-01 a       298     0    15     1    18
 -1.5064131077667109E-02 a       299     0    15     1    19
  1.5963212750349359E-01 a       300     0    15     1    20
  9.0658143806755728E-02 a       301     0    16     1     1
  5.5299641500703856E-01 a       302     0    16     1     2
  1.5187926907311014E-01 a       303     0    16     1     3
 -1.2813538431740329E-01 a       304     0    16     1     4
  2.8130887925116188E-01 a       305     0    16     1     5
  9.7985621852111036E-03 a       306     0    16     1     6
  1.1479752679180064E-01 a       307     0    16     1     7
 -3.1335240808842818E-01 a       308     0    16     1     8
  1.6959495280362250E-01 a       309     0    16     1     9
  2.8166133177434954E-01 a       310     0    16     1    10
  5.3105845764397008E-01 a       311     0    16     1    11
  1.9275028984867598E-01 a       312     0    16     1    12
 -1.3898405117382720E-01 a       313     0    16     1    13
 -3.9050641686510512E-01 a       314     0    16     1    14
  5.2958836721245205E-02 a       315     0    16     1    15
  7.7149890320142162E-02 a       316     0    16     1    16
 -3.6871383257484791E-02 a       317     0    16     1    17
 -4.4109968660482640E-01 a       318     0    16     1    18
 -1.8222091791702263E-01 a       319     0    16     1    19
  3.9066803788550752E-01 a       320     0    16     1    20
 -5.6569601239154541E-02 a       321     0    17     1     1
 -4.4388821042123239E-01 a       322     0    17     1     2
  1.5993348995172969E-02 a       323     0    17     1     3
  1.5878466048553255E-01 a       324     0    17     1     4
  2.9880319306228204E-01 a       325     0    17     1     5
  2.0657344299398004E-02 a       326     0    17     1     6
  1.2559166397023092E-01 a       327     0    17     1     7
  4.1408066919666903E-01 a       328     0    17     1     8
 -2.8348038531374553E-01 a       329     0    17     1     9
 -2.0614001097963925E-02 a       330     0    17     1    10
 -1.7865887443726755E-01 a       331     0    17     1    11
 -1.4026158083059134E-01 a       332     0    17     1    12
  1.7281157532837427E-01 a       333     0    17     1    13
 -1.7831440495165282E-01 a       334     0    17     1    14
  1.0490129252040763E-01 a       335     0    17     1    15
  2.3708224278607787E-01 a       336     0    17     1    16
  5.3903566406233776E-02 a       337     0    17     1    17
  6.5377610300146188E-02 a       338     0    17     1    18
  1.2106278903171554E-01 a       339     0    17     1    19
 -2.7823819723018234E-01 a       340     0    17     1    20
 -1.0018586246459152E-01 a       341     0    18     1     1
  3.0809425960722267E-02 a       342     0    18     1     2
 -1.9015336880769218E-01 a       343     0    18     1     3
 -8.1205038053436401E-02 a       344     0    18     1     4
 -5.0808452123580740E-02 a       345     0    18     1     5
 -1.8863316481768040E-02 a       346     0    18     1     6
  1.1922812093267401E-01 a       347     0    18     1     7
 -5.8338567992025962E-02 a       348     0    18     1     8
 -2.0071067110663127E-01 a       349     0    18     1     9
 -2.5375045569403516E-02 a       350     0    18     1    10
  1.6657037358410101E-01 a       351     0    18     1    11
  1.2142503951945623E-01 a       352     0    18     1    12
  7.4797377960213102E-02 a       353     0    18     1    13
 -9.5671736489023815E-03 a       354     0    18     1    14
 -7.8997906865866177E-02 a       355     0    18     1    15
  2.2281058473185839E-01 a       356     0    18     1    16
  6.6302015050392557E-02 a       357     0    18     1    17
 -1.0243844165054759E-01 a       358     0    18     1    18
 -1.3058880659570640E-01 a       359     0    18     1    19
  6.4109750469644969E-02 a       360     0    18     1    20
 -8.6831502950544828E-02 a       361     0    19     1     1
  3.2576780389650734E-01 a       362     0    19     1     2
  7.2015299812667383E-02 a       363     0    19     1     3
 -2.2174360322877357E-02 a       364     0    19     1     4
 -2.2720623004992116E-01 a       365     0    19     1     5
  1.0016695811251858E-01 a       366     0    19     1     6
  2.6812629179600644E-02 a       367     0    19     1     7
  1.1301215642539525E-02 a       368     0    19     1     8
  7.8411027469338507E-02 a       369     0    19     1     9
 -2.7722207149784733E-01 a       370     0    19     1    10
 -3.4213768803297673E-01 a       371     0    19     1    11
 -2.4715023177400738E-01 a       372     0    19     1    12
 -1.3045100200781404E-01 a       373     0    19     1    13
  2.2731235417080356E-01 a       374     0    19     1    14
  5.9932403943708107E-02 a       375     0    19     1    15
 -2.0771514439326844E-02 a       376     0    19     1    16
  1.6002760682479575E-01 a       377     0    19     1    17
  1.1489318992177298E-01 a       378     0    19     1    18
  9.4106567431600521E-02 a       379     0    19     1    19
  1.3476895660641819E-01 a       380     0    19     1    20
  1.1706975954383395E-01 a       381     0    20     1     1
 -4.4806352176021497E-01 a       382     0    20     1     2
  1.0979507467133645E-01 a       383     0    20     1     3
 -4.0431035177507853E-02 a       384     0    20     1     4
  1.2735001251264289E-01 a       385     0    20     1     5
 -1.2565466831008651E-01 a       386     0    20     1     6
  7.5998061516280496E-02 a       387     0    20     1     7
 -5.1310093332074050E-02 a       388     0    20     1     8
 -4.1928410680381084E-02 a       389     0    20     1     9
  4.1214048245198628E-02 a       390     0    20     1    10
  1.0269722534093270E-01 a       391     0    20     1    11
 -1.2652677436851698E-01 a       392     0    20     1    12
 -1.4340442286608140E-01 a       393     0    20     1    13
 -4.4920121100712335E-03 a       394     0    20     1    14
 -1.6524012451511316E-01 a       395     0    20     1    15
 -3.7960467178682533E-01 a       396     0    20     1    16
 -7.4232468481615826E-02 a       397     0    20     1    17
  1.4131426398522301E-01 a       398     0    20     1    18
 -3.7123345321128244E-02 a       399     0    20     1    19
 -2.6732168666845857E-01 a       400     0    20     1    20
  2.8547404554224467E-02 a       401     0    21     1     1
  2.3019840337872025E-01 a       402     0    21     1     2
  2.4247261686449287E-01 a       403     0    21     1     3
  5.2297084516671637E-02 a       404     0    21     1     4
 -8.5510249598101787E-02 a       405     0    21     1     5
  8.1583231467535031E-02 a       406     0    21     1     6
 -1.3192929941095535E-01 a       407     0    21     1     7
  6.5669093626897664E-03 a       408     0    21     1     8
  2.2107637403768121E-01 a       409     0    21     1     9
 -1.6096474194333386E-02 a       410     0    21     1    10
 -1.1242753942910705E-01 a       411     0    21     1    11
 -1.5046240913925057E-01 a       412     0    21     1    12
  2.1265681550044974E-01 a       413     0    21     1    13
 -2.4041206701938447E-02 a       414     0    21     1    14
  1.2686389538791806E-01 a       415     0    21     1    15
 -1.5661319789940778E-01 a       416     0    21     1    16
 -5.0456202032473668E-02 a       417     0    21     1    17
  7.8608481586781270E-02 a       418     0    21     1    18
  6.9422339092361354E-02 a       419     0    21     1    19
