rank,epoch,train_step,traj,frame,frame_index,force_mae,force_rmse,energy_abs_error,epistemic_mean,epistemic_p95,epistemic_max,aleatoric_mean,aleatoric_p95,aleatoric_max
46,99,900,a,28872,14436,0.005634827073663473,0.007435510866343975,0.00390625,0.0017342597711831331,0.002577621955424547,0.003746240632608533,0.0034679595846682787,0.004734503570944071,0.00656169094145298
47,99,900,b,26646,29538,0.00569295696914196,0.007521015591919422,0.018310546875,0.0017516521038487554,0.002577422885224223,0.0036624439526349306,0.0034908519592136145,0.004762632306665182,0.006209793034940958
48,99,900,a,28288,14144,0.00567601015791297,0.007421938702464104,0.00048828125,0.0017358276527374983,0.0025771346408873796,0.0038975821807980537,0.003464739304035902,0.004740233067423105,0.006795830558985472
49,99,900,a,28000,14000,0.005983344279229641,0.008083323948085308,0.0126953125,0.0017410649452358484,0.0025764722377061844,0.003927759826183319,0.0034728245809674263,0.004716559313237667,0.0063832541927695274
50,99,900,a,27336,13668,0.005766024813055992,0.0075238714925944805,0.010498046875,0.0017349644331261516,0.002576330443844199,0.0037322661373764277,0.0034642068203538656,0.0047733373939991,0.006480492651462555
51,99,900,a,29032,14516,0.005743191111832857,0.007806312758475542,0.0166015625,0.001750148250721395,0.002576274098828435,0.0037681881804019213,0.0034868542570620775,0.004687461070716381,0.006421167869120836
52,99,900,a,27216,13608,0.00575789762660861,0.007768529001623392,0.002685546875,0.001729645999148488,0.0025761688593775034,0.003997450228780508,0.003455865429714322,0.0047208042815327644,0.006488798651844263
53,99,900,a,28088,14044,0.0054254718124866486,0.00710588414222002,0.00390625,0.0017379130003973842,0.002576057333499193,0.0035409778356552124,0.0034657290671020746,0.0047504836693406105,0.006037278566509485
54,99,900,a,27928,13964,0.005669949110597372,0.0075300284661352634,0.007080078125,0.0017461783718317747,0.00257562636397779,0.0034934398718178272,0.003487356472760439,0.00472992705181241,0.005972796585410833
55,99,900,b,26262,29346,0.005589296109974384,0.007316763512790203,0.007080078125,0.0017427809070795774,0.0025755702517926693,0.0037993385922163725,0.0034789019264280796,0.004771505016833544,0.006375918630510569
56,99,900,b,26078,29254,0.0057513900101184845,0.007588737178593874,0.01123046875,0.0017297023441642523,0.002575032878667116,0.003585262456908822,0.003455572761595249,0.004676608368754387,0.006194342393428087
57,99,900,b,26238,29334,0.005667280405759811,0.0074122208170592785,0.008056640625,0.0017289546085521579,0.002574304584413767,0.0032574336510151625,0.0034591928124427795,0.004757012240588665,0.0056786248460412025
58,99,900,a,28072,14036,0.0056299371644854546,0.007459729444235563,0.008544921875,0.0017505339346826077,0.002574056852608919,0.0038137517403811216,0.0034882251638919115,0.004713235888630152,0.006647416390478611
59,99,900,a,27160,13580,0.005653820000588894,0.007394797634333372,0.001953125,0.0017324791988357902,0.0025736934039741755,0.003964858129620552,0.0034626424312591553,0.004742150194942951,0.006318089086562395
60,99,900,a,27480,13740,0.005786251276731491,0.0076826480217278,0.000732421875,0.001762533443979919,0.0025733611546456814,0.003940877038985491,0.003505242522805929,0.0047200932167470455,0.00682539539411664
61,99,900,a,27416,13708,0.005649343132972717,0.007361968047916889,0.01025390625,0.0017577982507646084,0.002573198638856411,0.004051009193062782,0.0034980010241270065,0.004701428581029177,0.006814328022301197
62,99,900,b,29206,30818,0.0053967637941241264,0.007008782122284174,0.021240234375,0.001715459511615336,0.0025730328634381294,0.004257283639162779,0.0034347050823271275,0.004750985186547041,0.00696850661188364
63,99,900,a,27592,13796,0.005928299389779568,0.00788384210318327,0.009033203125,0.0017400042852386832,0.0025719047989696264,0.0036987813655287027,0.0034716317895799875,0.00468360586091876,0.006234688684344292
64,99,900,a,27432,13716,0.00588538683950901,0.007807910442352295,0.016845703125,0.0017354941228404641,0.0025715467054396868,0.003846885170787573,0.003466011257842183,0.004751925822347403,0.006492913700640202
65,99,900,a,28528,14264,0.005812923889607191,0.007659772876650095,0.01171875,0.001727663679048419,0.0025712258648127317,0.0034699363168329,0.0034529713448137045,0.0047067380510270596,0.005876428913325071
66,99,900,a,27168,13584,0.005373336840420961,0.0069680847227573395,0.001708984375,0.0017265904461964965,0.0025711385533213615,0.003763122484087944,0.003450247459113598,0.004709972999989986,0.00655009038746357
67,99,900,a,27544,13772,0.005645464640110731,0.0074876947328448296,0.008544921875,0.0017445757985115051,0.002570873824879527,0.003633055603131652,0.003481958992779255,0.004758484661579132,0.006323863286525011
68,99,900,a,27328,13664,0.005715280305594206,0.007490196730941534,0.018798828125,0.001735898433253169,0.0025707574095577,0.004079725127667189,0.003466728376224637,0.00476419972255826,0.007062136195600033
69,99,900,b,26206,29318,0.005586025770753622,0.00725563196465373,0.0087890625,0.001741091487929225,0.0025705795269459486,0.0036452277563512325,0.003474476048722863,0.004720681346952915,0.006396051030606031
70,99,900,a,27392,13696,0.005782943218946457,0.007595909759402275,0.034423828125,0.0017393637681379914,0.002570495940744877,0.003297063522040844,0.0034721216652542353,0.004713837057352066,0.00584842124953866
71,99,900,b,26270,29350,0.005799734964966774,0.007623123005032539,0.005615234375,0.0017307278467342257,0.002570468932390213,0.0036693529691547155,0.0034598472993820906,0.004721110220998526,0.006201968528330326
72,99,900,a,27176,13588,0.005951390136033297,0.0080183120444417,0.000732421875,0.0017342034261673689,0.0025702312123030424,0.003816550364717841,0.0034645874984562397,0.0047171395272016525,0.006739194970577955
73,99,900,a,27208,13604,0.005790800787508488,0.007745944429188967,0.011474609375,0.0017387227853760123,0.0025702191051095724,0.003969450946897268,0.0034686364233493805,0.004713108763098717,0.006426223553717136
